,Date,Year,Month,Day,Address,State,County,City,O3 Mean,O3 1st Max Value,O3 1st Max Hour,O3 AQI,CO Mean,CO 1st Max Value,CO 1st Max Hour,CO AQI,SO2 Mean,SO2 1st Max Value,SO2 1st Max Hour,SO2 AQI,NO2 Mean,NO2 1st Max Value,NO2 1st Max Hour,NO2 AQI
15909,2000-08-02,2000,8,2,200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,0.034706,0.057,12,58,0.85,1.1,12,13.0,7.041667,16.0,11,23.0,32.904762,53.0,19,50
15910,2000-08-03,2000,8,3,200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,0.010529,0.016,12,15,0.758333,1.0,23,11.0,11.5,33.0,8,47.0,39.0,55.0,23,52
15911,2000-08-04,2000,8,4,200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,0.020118,0.037,9,34,0.683333,0.9,0,10.0,4.375,12.0,0,17.0,27.958333000000003,51.0,0,48
15912,2000-08-05,2000,8,5,200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,0.022765,0.043,11,40,0.5,0.7,0,8.0,3.541667,7.0,23,10.0,22.291667,62.0,21,60
15913,2000-08-06,2000,8,6,200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,0.036882,0.055,10,51,0.725,0.9,2,10.0,6.7083330000000005,20.0,9,29.0,29.916667,48.0,0,45
15914,2000-08-07,2000,8,7,200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,0.035412,0.059,10,64,0.65,0.7,8,8.0,6.791667,23.0,23,33.0,28.708333000000003,55.0,23,52
15915,2000-08-08,2000,8,8,200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,0.036765,0.058,10,61,0.6625,0.7,0,8.0,6.666667,13.0,19,19.0,31.291667,50.0,0,47
15916,2000-08-09,2000,8,9,200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,0.041353,0.061,11,71,0.6625,0.7,0,8.0,8.0,19.0,3,27.0,35.375,51.0,3,48
15917,2000-08-10,2000,8,10,200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,0.027438,0.058,8,61,0.591667,1.0,23,11.0,5.7083330000000005,26.0,0,37.0,31.047619,77.0,21,76
15918,2000-08-11,2000,8,11,200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,0.029353,0.043,11,40,0.9625,1.3,3,15.0,4.416667,8.0,12,11.0,37.333333,60.0,0,57
15919,2000-08-12,2000,8,12,200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,0.019,0.023,9,21,0.575,0.8,0,9.0,2.791667,6.0,19,9.0,15.875,28.0,17,26
15920,2000-08-13,2000,8,13,200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,0.017941,0.023,10,21,0.433333,0.5,0,6.0,2.208333,3.0,2,4.0,12.791667,20.0,21,19
15921,2000-08-14,2000,8,14,200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,0.007059,0.008,7,7,0.545833,0.7,17,8.0,2.863636,6.0,22,9.0,19.181818,26.0,15,25
15922,2000-08-15,2000,8,15,200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,0.017941,0.035,11,32,0.55,1.0,23,11.0,4.2083330000000005,13.0,20,19.0,22.625,56.0,20,53
15923,2000-08-16,2000,8,16,200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,0.024941,0.039,7,36,0.716667,1.1,1,13.0,7.666666999999999,21.0,7,30.0,30.375,50.0,6,47
15924,2000-08-17,2000,8,17,200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,0.017412,0.03,9,28,0.416667,0.7,22,8.0,3.5,9.0,21,13.0,19.083333,44.0,21,42
15925,2000-08-18,2000,8,18,200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,0.005882,0.01,10,9,0.754167,0.9,18,10.0,5.125,9.0,21,13.0,29.458333000000003,41.0,18,39
15926,2000-08-19,2000,8,19,200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,0.017824,0.034,8,31,0.616667,0.9,0,10.0,4.541667,8.0,20,11.0,19.208333,32.0,20,30
15927,2000-08-20,2000,8,20,200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,0.017059,0.03,10,28,0.508333,0.8,0,9.0,3.041667,4.0,0,6.0,14.666667000000002,29.0,19,27
15928,2000-08-21,2000,8,21,200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,0.013824,0.026,11,24,0.5625,1.0,23,11.0,4.5454550000000005,10.0,21,14.0,20.708333,43.0,23,41
15929,2000-08-22,2000,8,22,200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,0.038917,0.051,12,47,0.908333,1.5,3,17.0,8.125,14.0,12,20.0,30.875,41.0,0,39
15930,2000-08-23,2000,8,23,200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,0.015235,0.032,9,30,0.6875,0.9,20,10.0,7.625,16.0,1,23.0,39.181818,55.0,7,52
15931,2000-08-24,2000,8,24,200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,0.023882,0.046,11,43,0.870833,1.4,23,16.0,6.166667,11.0,4,16.0,35.75,76.0,20,74
15932,2000-08-25,2000,8,25,200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,0.018882,0.039,10,36,0.825,1.4,0,16.0,4.625,11.0,23,16.0,28.583333000000003,51.0,22,48
15933,2000-08-26,2000,8,26,200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,0.034176,0.057,12,58,0.904167,1.2,2,14.0,6.875,15.0,0,21.0,36.333333,71.0,21,69
15934,2000-08-27,2000,8,27,200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,0.034294,0.061,9,71,0.795833,1.0,0,11.0,8.375,19.0,10,27.0,32.625,50.0,0,47
15935,2000-08-28,2000,8,28,200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,0.029,0.033,10,31,0.7875,0.9,0,10.0,3.1,8.0,10,11.0,27.894737,49.0,0,46
15936,2000-08-29,2000,8,29,200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,0.014,0.015,21,14,0.8,0.8,0,9.0,7.0,7.0,23,10.0,10.0,10.0,23,9
15937,2000-08-30,2000,8,30,200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,0.009706,0.018,10,17,0.595,0.8,22,9.0,7.375,18.0,19,26.0,23.25,36.0,19,34
15938,2000-08-31,2000,8,31,200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,0.015176,0.036,8,33,0.670833,0.8,0,9.0,1.478261,3.0,0,4.0,20.478261,29.0,0,27
