,price,model,year,title_status,mileage,state,condition_1,brand_chevrolet,brand_dodge,brand_ford,brand_nissan,brand_other,color_black,color_blue,color_gray,color_other,color_red,color_silver,color_white
210,22500,11,2020,0,13826.0,7,4320.0,1,0,0,0,0,0,0,0,1,0,0,0
211,7420,75,2017,0,55854.0,36,2880.0,0,0,1,0,0,0,0,0,0,0,0,1
212,13500,32,2016,0,45757.0,1,1200.0,0,0,1,0,0,0,0,0,0,0,1,0
213,15500,114,2020,0,16545.0,7,4320.0,1,0,0,0,0,0,0,0,0,0,0,1
214,3540,32,2017,0,112893.0,36,2880.0,0,0,1,0,0,0,0,0,0,0,0,1
215,17000,32,2016,0,126802.0,6,120.0,0,0,1,0,0,0,0,0,1,0,0,0
216,45500,108,2020,0,13303.0,7,4320.0,1,0,0,0,0,0,0,0,0,0,0,1
217,4130,32,2017,0,34061.0,36,2880.0,0,0,1,0,0,0,0,0,0,0,1,0
218,15700,32,2015,0,70251.0,1,840.0,0,0,1,0,0,0,0,0,0,0,0,1
219,45500,108,2020,0,13679.0,7,4320.0,1,0,0,0,0,0,0,1,0,0,0,0
220,4130,33,2017,0,42426.0,36,2880.0,0,0,1,0,0,0,0,1,0,0,0,0
221,15500,32,2012,0,66452.0,32,2880.0,0,1,0,0,0,1,0,0,0,0,0,0
222,16300,114,2020,0,18221.0,7,4320.0,1,0,0,0,0,0,0,0,0,0,0,1
223,4530,75,2017,0,41455.0,36,2880.0,0,0,1,0,0,0,0,0,0,0,0,1
224,15600,32,2011,0,35275.0,32,2880.0,0,1,0,0,0,1,0,0,0,0,0,0
225,45500,108,2020,0,13885.0,7,4320.0,1,0,0,0,0,0,0,0,0,0,0,1
226,4100,32,2017,0,38815.0,36,2880.0,0,0,1,0,0,0,0,1,0,0,0,0
227,18200,32,2011,0,162281.0,32,2880.0,0,1,0,0,0,0,0,0,0,0,0,1
228,10200,32,2013,0,56479.0,36,1260.0,1,0,0,0,0,1,0,0,0,0,0,0
229,4080,33,2017,0,61027.0,36,2880.0,0,0,1,0,0,1,0,0,0,0,0,0
230,5700,117,2014,0,178703.0,6,120.0,0,0,1,0,0,0,0,0,0,0,0,1
231,10200,4,2014,0,173469.0,36,1260.0,1,0,0,0,0,0,0,0,0,0,0,1
232,5000,32,2017,0,37321.0,36,2880.0,0,0,1,0,0,0,0,0,0,0,0,1
